id	COG	KEGG_KOs	ann_egg
GL50803_88245	M		Ankyrin Repeat Protein
GL50803_134442	S	K16535	Inherit from NOG: fgfr1op N-terminal like
GL50803_60130	L	K02543,K06640	Ataxia telangiectasia and rad3 related
GL50803_87706	S	K05635	Laminin, alpha
GL50803_50041	U		High cysteine membrane protein Group 1
GL50803_15109			
GL50803_16376	A	K12812,K13182	(RNA) helicase
GL50803_34684	L	K11594	purine NTP-dependent helicase activity
GL50803_15112	V	K14819	Dual specificity phosphatase
GL50803_15113	Z	K11340,K11652	Actin-like
GL50803_10091	J	K02894	ribosomal protein
GL50803_16375	S	K19685	tetratricopeptide repeat domain 26
GL50803_16374	S		WNT inhibitory factor 1
GL50803_16373			
GL50803_114815	S	K06252	WNT inhibitory factor 1
GL50803_39904	S		VSP with INR
GL50803_134441	S	K16535	Inherit from NOG: fgfr1op N-terminal like
GL50803_114813	O	K07762,K08647	whole genome shotgun sequence
GL50803_15867	O	K14539	Large subunit GTPase 1
GL50803_15868	O	K15716	RING
GL50803_15869	S	K03066,K07936	GTP-binding nuclear protein
GL50803_88735	E	K09257	Ankyrin Repeat
GL50803_22850	T	K19603	Mitogen-activated protein kinase
GL50803_16263	S	K16780	syndrome nuclear autoantigen 1
GL50803_12949	O	K02737,K02740,K11598	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
GL50803_2261	A	K11583	Protein phosphatase 2, regulatory subunit B
GL50803_12950	O	K10573,K10574,K10585	ubiquitin-conjugating enzyme
GL50803_60147	J	K02983	ribosomal protein S30
GL50803_16264	A	K14556	WD repeat domain 3
GL50803_16265	J	K02984	40s ribosomal protein
GL50803_8415	S	K14840	glioma tumor suppressor candidate region gene 2
GL50803_14702	A	K14792	programmed cell death
GL50803_8407	E	K01270	Clan MH, family M20, peptidase T-like metallopeptidase
GL50803_16266	T		IG_like
GL50803_8405	C		zinc finger, C2HC-type containing
GL50803_14699	J	K02973	Ribosomal protein S23
GL50803_16267	S		kinetoplast-associated protein-like protein
GL50803_137605			
GL50803_114120	T	K10645	Neurofibromin 1
GL50803_16114	J	K02920	60S ribosomal protein l36
GL50803_14753	S	K10752	retinoblastoma binding protein
GL50803_42048	Q	K05681	ATP-binding cassette, subfamily G (WHITE), member 2
GL50803_12795	T		Inherit from saccNOG: Phosducin
GL50803_15897	C	K00327	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)
GL50803_15898	U		DTW domain containing 1
GL50803_25809	O	K11838	ubiquitin carboxyl-terminal hydrolase
GL50803_16076	O	K03386,K13279,K20011	peroxiredoxin
GL50803_16078			
GL50803_4463	T	K10411	leucine rich repeat
GL50803_4465	L	K02543,K06640	Ataxia telangiectasia and rad3 related
GL50803_60167	L	K02543,K06640	Ataxia telangiectasia and rad3 related
GL50803_114891	S	K05635	Laminin, alpha
GL50803_50057	U		High cysteine membrane protein Group 1
GL50803_14841	S	K01091	Phosphoglycolate phosphatase
GL50803_9030	M		Ankyrin Repeat Protein
GL50803_14842	A	K05605,K14191	dimethyladenosine transferase
GL50803_14843	O	K09523,K09524,K09536,K17867	chaperone protein DNAJ
GL50803_9036	K		Chromosome 2 open reading frame 18
GL50803_91398	J	K03238	eukaryotic translation initiation factor 2
GL50803_9038	H	K00763	Nicotinate phosphoribosyltransferase
GL50803_21233	S		tripartite motif containing
GL50803_21234			
GL50803_9043	G		NIPA-like domain containing
GL50803_9046	G		Major Facilitator Superfamily
GL50803_100864	U	K18466	Vacuolar Protein
GL50803_91374	S		Inherit from euNOG: Conserved hypothetical protein
GL50803_16086	J	K02938	Ribosomal Proteins L2, C-terminal domain
GL50803_5070			
GL50803_117440	S		VSP with INR
GL50803_d117440	S		VSP with INR
GL50803_36884	S		conserved hypothetical protein
GL50803_16152	S	K12472	Viral A-type inclusion protein
GL50803_113213	S	K02599	WNT inhibitory factor 1
GL50803_14456	T	K01104,K03686,K14394	Low molecular weight phosphotyrosine protein phosphatase
GL50803_14457	J	K02905	Ribosomal protein L29
GL50803_7439	T	K03456	(Regulatory) subunit
GL50803_7444	S		whole genome shotgun sequence
GL50803_13109	S		member RAS oncogene family
GL50803_15958	T		Ribosomal protein S6
GL50803_14586	S		VSP with INR
GL50803_d14586	S		VSP with INR
GL50803_13239	Z		heavy chain
GL50803_17103	L	K01657,K02213,K02603	Cell division control protein
GL50803_102051	E	K14997	transmembrane amino acid transporter protein
GL50803_17105	K	K19676	intraflagellar transport 172 homolog (Chlamydomonas)
GL50803_17106	O	K03066,K07936	26S protease regulatory subunit
GL50803_6427	G		Major Facilitator superfamily
GL50803_14200	H	K15631	Molybdenum cofactor sulfurase
GL50803_6430	T	K06630	Tyrosine 3-monooxygenase tryptophan 5-monooxygenase activation protein
GL50803_17109	U		Vacuolar protein
GL50803_22338	A	K00565	mRNA cap guanineN7 methyltransferase
GL50803_1656	T		mitogen-activated protein kinase kinase kinase
GL50803_17112	J	K14846	ribosome production factor 1
GL50803_102034	T		calcium-dependent protein kinase
GL50803_8819	S	K07845,K11253,K11660	Family with sequence similarity 96, member
GL50803_8822	G	K15633	phosphoglycerate mutase
GL50803_8826	G	K00845	glucokinase (EC 2.7.1.2)
GL50803_14783	O	K01359	proprotein convertase subtilisin kexin type
GL50803_50064	O	K07762,K08647	whole genome shotgun sequence
GL50803_1903	J	K10754,K19589	N-6 adenine-specific DNA methyltransferase 1
GL50803_104031	G	K00693	Glycogen synthase
GL50803_16547	S	K19656	Intraflagellar transport 122 homolog (Chlamydomonas)
GL50803_7103	E	K09257	Ankyrin Repeat
GL50803_14360	S	K02599	Notch ligand involved in the mediation of Notch signaling (By similarity)
GL50803_7110	O	K08770	ubiquitin B
GL50803_14361	S		AHNAK nucleoprotein
GL50803_14362	S		FYVE and coiled-coil domain containing 1
GL50803_16549	F		uridine kinase
GL50803_14364	T	K07198,K12761	serine threonine-protein kinase
GL50803_86761	S		coiled-coil domain containing 88A
GL50803_16552	I	K00938	Phosphomevalonate kinase
GL50803_16554	S	K12836	auxiliary factor
GL50803_16556	T		whole genome shotgun sequence
GL50803_13901	M	K08803,K15503	Ankyrin Repeat Protein
GL50803_60196	T		Serine Threonine protein kinase
GL50803_50066			
GL50803_16194			
GL50803_7728	M		Ankyrin Repeat Protein
GL50803_35180	L	K07203	PIKK family atypical protein kinase
GL50803_8026	A	K13148	cleavage and polyadenylation specificity factor
GL50803_8025	O		ATP GTP binding protein-like 5
GL50803_14242	Z	K10408,K10413,K10414	heavy chain
GL50803_6564	L	K04802	This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand (By similarity)
GL50803_6563	F	K00761	uridine kinase
GL50803_14241	O	K12009	PRY
GL50803_24400	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_112207	O	K07762,K08647	whole genome shotgun sequence
GL50803_50070	O	K01359	proprotein convertase subtilisin kexin type
GL50803_16572	I	K00670,K17972	N(alpha)-acetyltransferase 20, NatB catalytic subunit
GL50803_15048	L	K11594	purine NTP-dependent helicase activity
GL50803_15049	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_9802	S		Ankyrin repeat domain 24
GL50803_9803	A	K11090,K15191	Sjogren syndrome antigen B (autoantigen La)
GL50803_9808	O	K09503	DnaJ (Hsp40) homolog, subfamily A, member
GL50803_9810	J	K02929	60s ribosomal protein
GL50803_60211	J	K02966	Ribosomal protein S19
GL50803_15054	S		Kelch domain containing
GL50803_104685	T	K16466	centrin, EF-hand protein
GL50803_103164	S		whole genome shotgun sequence
GL50803_16575	Q		(ABC) transporter
GL50803_40783	J	K02435,K15456	KTI12 homolog, chromatin associated (S. cerevisiae)
GL50803_5213	J		Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)
GL50803_33809	J	K14795	Component of the 90S pre-ribosome involved in the maturation of rRNAs. Required for early cleavages of the pre-RNAs in the 40S ribosomal subunit maturation pathway (By similarity)
GL50803_16577	V	K03327	Mate efflux family protein
GL50803_98054	O	K04079	Hsp90 protein
GL50803_90950	L	K14777,K14808	atp-dependent rna helicase
GL50803_33807	M		Ankyrin Repeat Protein
GL50803_3470	Q		ATP-binding cassette sub-family A ABC1 member
GL50803_24194	S		Ankyrin Repeat
GL50803_16463	T	K09140	pre-rRNA processing protein involved in ribosome biogenesis (By similarity)
GL50803_17243	Z	K10408	Dynein, axonemal heavy chain
GL50803_8173	G	K00864	Glycerol kinase
GL50803_8174	E	K14242	Ankyrin Repeat
GL50803_8182	P		ATPase, class
GL50803_3563	S		AHNAK nucleoprotein
GL50803_3565	J	K05544	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
GL50803_13390	S		VSP with INR
GL50803_137722	S		VSP with INR
GL50803_137723	S		VSP with INR
GL50803_37093	S		regulation of RNA biosynthetic process
GL50803_14158			
GL50803_16339			
GL50803_6283	A	K09097,K18655,K18656	ATPdependent RNA helicase
GL50803_6284	S		Ankyrin repeat protein
GL50803_113871			
GL50803_6375	E	K01760,K10764	cystathionine beta-lyase
GL50803_102461			
GL50803_14626	Q	K10251	Oxidoreductase short chain dehydrogenase reductase family
GL50803_113876	Q	K05641	ATP-binding cassette sub-family A ABC1 member
GL50803_137721	S		FU
GL50803_4008	S	K06685	MOB kinase activator
GL50803_34058	L	K08737	Component of the post-replicative DNA mismatch repair system (MMR). Heterodimerizes with msh-2 to form MutS beta, which binds to DNA mismatches thereby initiating DNA repair. Msh-3 provides substrate-binding and substrate-specificity to the complex. When bound, the MutS beta heterodimer bends the DNA helix and shields approximately 20 base pairs. Acts mainly to repair insertion-deletion loops (IDLs) from 2 to 13 nucleotides in size, but can also repair base-base and single insertion-deletion mismatches that occur during replication. After mismatch binding, forms a ternary complex with the MutL alpha heterodimer, which is thought to be responsible for directing the downstream MMR events, including strand discrimination, excision, and resynthesis. ATP binding and hydrolysis play a pivotal role in mismatch repair functions (By similarity)
GL50803_24807	S		Ankyrin repeat protein
GL50803_13104	L	K10872	Meiotic recombination protein dmc1
GL50803_13101	S		basic, immunoglobulin-like variable motif containing
GL50803_16356	I		SAC1 suppressor of actin mutations 1-like (yeast)
GL50803_16355	T	K08863,K15502,K15503	NIMA-related kinase
GL50803_16354	M		Ankyrin Repeat Protein
GL50803_113892	I		Acyl-CoA synthetase long-chain family member
GL50803_16353	S		Resistance protein
GL50803_20037	B	K11253	histone H3
GL50803_16953	L	K04799	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA (By similarity)
GL50803_16952	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_8423	S		enkurin domain containing 1
GL50803_93103	J	K15331,K15332	tRNA methyltransferase 2 homolog
GL50803_8426	L		retrotransposon-like 1
GL50803_8427	K	K10643	CCR4-NOT transcription complex subunit 4
GL50803_8428	T	K08863	NIMA-related kinase
GL50803_8429	U	K09595	signal peptide peptidase
GL50803_16951			
GL50803_8432	O	K03868,K06265	RinG-box protein
GL50803_8782	S		ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)
GL50803_8781	U		Yip1 domain
GL50803_16948	A	K14835	Nucleolar protein
GL50803_91712	E		amino acid
GL50803_8770			
GL50803_91707	U		High cysteine membrane protein Group 1
GL50803_35428	J	K01873	Valyl-trna synthetase
GL50803_16737	I	K01128	sphingomyelin phosphodiesterase, acid-like
GL50803_16736	S		Ankyrin repeat protein
GL50803_103810	S		Ankyrin repeat protein
GL50803_16734	S	K07204	regulatory associated protein of MTOR
GL50803_103807	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_16733	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_13475		K18626	
GL50803_137719	T		NIMA-related kinase
GL50803_89887	S	K14537,K16474	nucleolar gtp-binding protein
GL50803_17120	S		Notch ligand involved in the mediation of Notch signaling (By similarity)
GL50803_11099	S		Ankyrin Repeat
GL50803_11100	S	K19673	tetratricopeptide repeat domain
GL50803_15338	T	K05661,K08857,K15502,K15503	NIMA-related kinase
GL50803_15339	U	K12392,K12401	Adaptor-related protein complex
GL50803_15340	M		Ankyrin Repeat Protein
GL50803_11107	E		Ankyrin Repeat
GL50803_11118	G	K01689	enolase (EC 4.2.1.11)
GL50803_11120	D, K	K14966	FN3
GL50803_15344	L	K02540	dna replication licensing factor
GL50803_17117	M		Ankyrin Repeat Protein
GL50803_17118	S		leucine rich repeat family protein
GL50803_14651	M	K00621,K01679	N-acetyltransferase
GL50803_8163	C		DHH family
GL50803_14650	T	K01090,K14803,K17506	PHOsphatase
GL50803_8157	K	K03013	Dna-directed RNA
GL50803_14648	S		forebrain astrocyte differentiation
GL50803_8152	T	K08286,K08857	NimA-related protein kinase
GL50803_17116	C	K05747	Cytochrome b5 domain containing 1
GL50803_8146	S	K10473,K16748	melanosome transport
GL50803_89828	S		MYCBP AMY-1-associated, testis expressed 1
GL50803_89845	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_114089	U		High cysteine membrane protein Group 1
GL50803_101496			
GL50803_6980	L	K02685	DNA primase large subunit
GL50803_16049	T	K05661,K08857,K15502,K15503	NIMA-related kinase
GL50803_16050	Z	K10352	myosin, heavy chain
GL50803_92760	S		conserved hypothetical protein
GL50803_23833	U	K18468	Vacuolar Protein
GL50803_4767	S		ANK
GL50803_8074	C		DHH family
GL50803_14628	T	K00889,K13712	phosphatidylinositol-4-phosphate 5-kinase
GL50803_42676	D	K03529	Required for chromosome condensation and partitioning (By similarity)
GL50803_16537	M		Ankyrin Repeat Protein
GL50803_2779	S		Ankyrin Repeat
GL50803_13127	O	K02732	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
GL50803_16535	D	K04648	CAP-GLY domain containing linker protein
GL50803_16534	S		Ankyrin repeat protein
GL50803_16533	S		Ankyrin repeat protein
GL50803_16532	M		Ankyrin Repeat Protein
GL50803_113319	O	K07762,K08647	whole genome shotgun sequence
GL50803_28057	O	K07762,K08647	whole genome shotgun sequence
GL50803_6920	S		Viral A-type inclusion protein
GL50803_6919			
GL50803_6918	L	K03515	REV1, polymerase (DNA directed)
GL50803_14322	S	K14827	Rix1 complex component involved in 60S ribosome maturation
GL50803_14321	J	K02908	60s ribosomal protein
GL50803_17291	L	K02606	ATPase family associated with various cellular activities (AAA)
GL50803_32607	O	K01359	proprotein convertase subtilisin kexin type
GL50803_137717	O	K07762,K08647	whole genome shotgun sequence
GL50803_9719	C		12-oxophytodienoate reductase
GL50803_9720	S		Ankyrin Repeat
GL50803_17288	M		Ankyrin Repeat Protein
GL50803_9722	S		Ankyrin Repeat
GL50803_93294	S		conserved hypothetical protein
GL50803_17285	M		Ankyrin Repeat Protein
GL50803_17284	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_14859	S		ANK
GL50803_14858	S		von Willebrand factor A domain containing 7
GL50803_9077	U	K01099	inositol
GL50803_14856	U	K06640,K13431	Signal recognition particle receptor
GL50803_14855	T	K00922,K00923,K04429	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2
GL50803_9073	V		Dual specificity phosphatase
GL50803_17283		K18626	
GL50803_6483	L	K03470,K10743,K14309	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
GL50803_21156	T		calcium-dependent protein kinase
GL50803_14223	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_6490	E	K14242	Ankyrin Repeat
GL50803_6492	C		glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)
GL50803_27880	A		RNA binding protein
GL50803_13523	U		ARF
GL50803_17277	T		phospholipase B domain containing
GL50803_13524	T	K01090,K06269	serine threonine-protein phosphatase
GL50803_13525	J	K02995,K15430	tRNA methyltransferase 11 homolog (S. cerevisiae)
GL50803_4059	H	K01243	Phosphorylase superfamily
GL50803_137716	S	K12472	Viral A-type inclusion protein
GL50803_3910	S		Thioredoxin family
GL50803_137715	S		FU
GL50803_137714	S		regulation of RNA biosynthetic process
GL50803_11470	S		regulation of RNA biosynthetic process
GL50803_11449	O	K14058,K14168	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Directly binds tRNAs and probably acts by catalyzing adenylation of tRNAs, an intermediate required for 2-thiolation. It is unclear whether it acts as a sulfurtransferase that transfers sulfur from thiocarboxylated urm1 onto the uridine of tRNAs at wobble position
GL50803_11448	G	K01835,K11809,K15779	phosphoglucomutase
GL50803_11442	Z	K10401,K10402	Kinesin family
GL50803_112729	Z		kinesin family member 11
GL50803_11438	M	K08803,K15503	Ankyrin Repeat Protein
GL50803_11436	O		ThiF domain protein
GL50803_11434	O	K02726	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
GL50803_92729	I	K15397	3-ketoacyl-coa synthase
GL50803_33434	S		TBC1 domain family, member 19
GL50803_13427	M	K17593	Ankyrin Repeat Protein
GL50803_92739	A		ATPdependent RNA helicase
GL50803_92741	T	K00924,K08287,K08823,K19995	CDC-like kinase
GL50803_23235	T	K00870,K04427	protein kinase kinase kinase
GL50803_112718	J	K12585	DIS3 mitotic control homolog (S
GL50803_16472	S		FU
GL50803_16471	S		ANK
GL50803_13464	A	K12827	Splicing factor 3A subunit 3
GL50803_23808	V		Mate efflux family protein
GL50803_33660	M		Ankyrin Repeat Protein
GL50803_16468	O		cathepsin
GL50803_3287	I	K00626	Acetyl-CoA acetyltransferase
GL50803_137712		K17570	
GL50803_7203	F	K00942	guanylate kinase
GL50803_14392	S		metallo-beta-lactamase superfamily protein
GL50803_7207	S		EF hand family protein
GL50803_16747	D	K15255	DNA helicase
GL50803_14807	E	K09257	Ankyrin Repeat
GL50803_8913	S		Metallo-beta-lactamase superfamily
GL50803_8914	S		forebrain astrocyte differentiation
GL50803_28666	J	K00586,K17081	S-adenosyl-L-methionine-dependent methyltransferase that catalyzes the trimethylation of the amino group of the modified target histidine residue in translation elongation factor 2 (EF- 2), to form an intermediate called diphthine. The three successive methylation reactions represent the second step of diphthamide biosynthesis (By similarity)
GL50803_8916	U	K03107	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane (By similarity)
GL50803_8917	U	K11826	AP2 complex subunit
GL50803_16745		K18626	
GL50803_8920	S	K16470	Inherit from euNOG: DAZ interacting protein
GL50803_8921	B, K	K11422	Set domain
GL50803_13479	S		Ankyrin Repeat
GL50803_13478	S	K07944,K07977	ADP-ribosylation factor-like
GL50803_112693	O	K01359	proprotein convertase subtilisin kexin type
GL50803_30448	G		Inherit from euNOG: Transporter permease protein
GL50803_9283			
GL50803_9287	L	K10755,K14015	replication factor c
GL50803_9289	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_9293	T	K01090,K14803,K17506	PHOsphatase
GL50803_41472	S		regulation of RNA biosynthetic process
GL50803_10659	S		VSP with INR
GL50803_10661	O	K03178,K10586,K10698,K10699	Ubiquitin-like modifier activating enzyme
GL50803_24425	S		Desumoylating isopeptidase
GL50803_15260	J	K02958	ribosomal protein S15
GL50803_10666	B, K	K06062	acetyltransferase
GL50803_16996	S		enkurin, TRPC channel interacting protein
GL50803_24423	S	K16462	Centrosomal protein 164kDa
GL50803_6242	D, Z		tumor protein
GL50803_6245	T		NLR family, CARD domain containing 5
GL50803_16993	A	K14857	rRNA methyltransferase
GL50803_5359	A	K14564,K14565	Nucleolar protein
GL50803_5358	D	K08850,K11479,K11480,K11481	serine threonine-protein kinase
GL50803_13904	O	K04797	prefoldin subunit
GL50803_13903	D		domain-containing protein
GL50803_114246	J	K06942,K19788	GTP-binding protein
GL50803_114247	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_24412	E	K06653	Ankyrin Repeat
GL50803_6724	U	K12669	nuclear transport factor
GL50803_16130	S		Tetratricopeptide repeat protein
GL50803_12942	C	K15338	UPF0047 protein
GL50803_16129	J	K03241	eIF2B-gamma protein
GL50803_16127	L	K10756	replication factor c
GL50803_3475	B, K	K10645,K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_16125	C		FAD dependent oxidoreductase
GL50803_14460	O	K11833,K11835	ubiquitin carboxyl-terminal hydrolase
GL50803_16124	O	K09499	t-complex protein 1
GL50803_7474	K	K03011	RNA polymerase II
GL50803_137708	S		regulation of RNA biosynthetic process
GL50803_137707	S		regulation of RNA biosynthetic process
GL50803_14259	M	K00621,K01679	N-acetyltransferase
GL50803_6626	D		meiotic nuclear divisions 1 homolog (S. cerevisiae)
GL50803_16427	S		Chitin binding Peritrophin-A domain
GL50803_6672	E	K10645	Ankyrin Repeat
GL50803_23930	S		Inherit from euNOG: Conserved hypothetical protein
GL50803_14270	S	K10419	dynein, light chain
GL50803_6664	P	K14709	solute carrier family 39 (Zinc transporter), member
GL50803_15196	C	K04488,K19195	iron-sulfur cluster
GL50803_17069	T	K08857	NIMA-related kinase
GL50803_17068	S	K11805	ddb1 and cul4 associated factor 7
GL50803_112553	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_10410	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_92134	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_112557			
GL50803_3957	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_17065	U	K14007,K14829	SEC24 family, member
GL50803_17063	P	K00381	Pyruvate ferredoxin oxidoreductase
GL50803_11178	T	K08794	calcium-dependent protein kinase
GL50803_11177	S		TPR
GL50803_40376	O	K07762,K08647	whole genome shotgun sequence
GL50803_11170	S	K14617	LIMR family
GL50803_29436	K	K03002	dna-directed RNA polymerase
GL50803_11165	E	K14242	Ankyrin Repeat
GL50803_11164	T		calcium-dependent protein kinase
GL50803_17060	E	K09257	Ankyrin Repeat
GL50803_112572	E	K14242	Ankyrin Repeat
GL50803_13223	S		Ankyrin Repeat
